day_of_week,hour_value,total_traffic,norm_total_traffic
0,0,4583569103.038574,-0.9498678531520601
0,1,3160852331.2404757,-1.4077688320948063
0,2,1926902211.4759555,-1.7504152024503226
0,3,1338736319.011454,-1.9137385856178148
0,4,1775445552.3729892,-1.7924720681830375
0,5,3096890080.947791,-1.425530030502682
0,6,3973087425.942658,-1.182225349730882
0,7,5077086749.965182,-0.8756640429225887
0,8,7350699693.659407,-0.24432148679170196
0,9,8170237692.83531,-0.016750115560234688
0,10,7660475605.146697,-0.1583021331771916
0,11,8360473383.315901,0.03607500906286521
0,12,9525179777.361952,0.35949360764114424
0,13,8719056949.136875,0.1356473947936129
0,14,7778209000.992494,-0.1256096279372798
0,15,7554706671.37722,-0.18767231651928676
0,16,7712686696.216923,-0.14380402619461105
0,17,8143750849.684475,-0.024105048731716063
0,18,9231524593.486113,0.27795069818355644
0,19,11975963878.18195,1.040033495940059
0,20,12277129637.008917,1.1236619607252627
0,21,10525358214.656288,0.637225669705498
0,22,9108778492.260798,0.2438662523161893
0,23,6185453031.203661,-0.5678901084597595
1,0,4351710860.166107,-0.9519129354397384
1,1,3419540099.7309504,-1.3359357624197175
1,2,1982777246.7557683,-1.7348996822315894
1,3,1228673853.574216,-1.9443010076236946
1,4,1426750517.3694093,-1.8892985818250692
1,5,2435350792.9946814,-1.6092279225276551
1,6,3251866771.571346,-1.3824957135709697
1,7,4790580757.448127,-0.9552217469566934
1,8,7450084218.969928,-0.21672414203545315
1,9,8573239691.447168,0.09515649221798222
1,10,8009795600.636251,-0.06130207893679608
1,11,8928571208.033043,0.1938258407442463
1,12,10591925818.006504,0.6557103290980266
1,13,9610431909.514952,0.38316663394861666
1,14,8470334108.674784,0.06658141137678456
1,15,8305167687.931969,0.020717584577255924
1,16,8458857166.273007,0.06339446516740421
1,17,8863911319.892242,0.1758709205054388
1,18,10467760814.060072,0.6212318787571471
1,19,13485547799.584972,1.459218553043098
1,20,13973881121.117184,1.594820177020084
1,21,11558617520.175745,0.9241437103957216
1,22,10920383695.559809,0.7469173380002939
1,23,8299364859.195784,0.019106240510424487
2,0,2838688948.971488,-0.5171447141400244
2,1,4437033388.833501,-1.0533956687904733
2,2,2450289700.630674,-1.6050796491116066
2,3,2055783981.6577635,-1.714626988607272
2,4,2109419957.2066717,-1.6997332161217051
2,5,2700297444.5678406,-1.5356568704686666
2,6,3395670462.160268,-1.342563943368277
2,7,4730770715.503503,-0.9718299497153653
2,8,7157303529.078893,-0.2980242198056077
2,9,8336601946.844355,0.029446328590992894
2,10,7588460716.919053,-0.17829940832431776
2,11,8800464359.497667,0.15825280909147008
2,12,10806869932.814713,0.7153965510843472
2,13,9831851652.324104,0.44465102459245104
2,14,8900648152.924551,0.18607209662694954
2,15,8422102018.399588,0.05318820333478579
2,16,8499888635.101921,0.07478818654997173
2,17,9032900819.99361,0.22279634958921474
2,18,10665352095.461845,0.6760995223529298
2,19,13481921173.142788,1.4582115022983833
2,20,14256880242.267342,1.6734040841997417
2,21,12122533478.202433,1.0807333108248474
2,22,11078761738.148472,0.7908961508937785
2,23,8742855215.656591,0.14225575724937417
3,0,6987182999.8335905,-0.36822809426619485
3,1,5066110535.350075,-0.8787119457817638
3,2,2991754948.2957597,-1.4547242183576485
3,3,2029972140.0967257,-1.7217944856409195
3,4,2083723752.2212942,-1.7068686029004114
3,5,2846272096.581922,-1.4951222622414884
3,6,3363431189.3283343,-1.3515162256703133
3,7,4873485633.384778,-0.932200512654379
3,8,7755529825.413416,-0.13190723840820337
3,9,8540766444.633738,0.08613923943275274
3,10,8073676920.437605,-0.04356335351114369
3,11,9096507713.656889,0.240458871675173
3,12,11022969846.944286,0.7754037183309191
3,13,9827011901.472855,0.44330711041306575
3,14,8938435370.75896,0.19656494624008022
3,15,8702120551.383747,0.13094445330184978
3,16,9176047677.298079,0.2625457286747609
3,17,9366656781.29292,0.3154745437009411
3,18,11340962249.743351,0.8637046479021419
3,19,14430075819.384007,1.7214974673196195
3,20,15148786706.523102,1.9210709126872487
3,21,12854776035.45015,1.2840642643553286
3,22,12376146796.74395,1.151157294485266
3,23,9593793464.342266,0.3785464286781897
4,0,4736845555.116649,0.24280077149903823
4,1,8616089426.444927,0.10705511431988671
4,2,5277003676.972482,-0.820150608210372
4,3,3414632111.570389,-1.3372986249066428
4,4,3110365893.9954896,-1.4217880328688839
4,5,3325978879.536393,-1.3619160771765375
4,6,3534566655.829544,-1.3039948992434978
4,7,4899780020.498711,-0.9248990211588952
4,8,7356109482.110954,-0.24281928313887705
4,9,8365509949.9781475,0.03747357555127542
4,10,7934644066.550781,-0.08217034578857876
4,11,9040920002.288326,0.22502313628220355
4,12,10978345729.176058,0.7630123811620242
4,13,10020164758.77,0.49694228124905865
4,14,9451280855.027262,0.33897316916831693
4,15,9612892423.675491,0.3838498757043516
4,16,9848169921.141422,0.44918232248786893
4,17,10255461400.4108,0.5622800440351658
4,18,11928545670.915825,1.0268662889774278
4,19,15332697491.557117,1.97213972167052
4,20,16944641179.142082,2.4197482958922047
4,21,14566296481.9943,1.759323563255935
4,22,13044897837.86604,1.3368577642544046
4,23,10225501458.504717,0.5539606920729158
5,0,12416313495.556412,0.8566652333194282
5,1,12405721867.883907,1.1593697745659408
5,2,10707809413.959175,0.6878891772547944
5,3,8328684993.243305,0.0272479290185772
5,4,7268258361.865494,-0.2672140029915057
5,5,6098772989.438929,-0.591959640296766
5,6,4498245771.560877,-1.0363980605189569
5,7,4203004235.863662,-1.1183814721370413
5,8,5105557739.33221,-0.867758147043342
5,9,6230292253.191984,-0.5554390406104398
5,10,7073666219.677092,-0.3212488380732386
5,11,8674395905.294685,0.12324580389969961
5,12,10386926003.478485,0.5987854654050078
5,13,10144224556.710812,0.5313915177218991
5,14,9422016638.024704,0.3308470078457376
5,15,8826260281.871223,0.16541588564513046
5,16,8899069485.900885,0.18563372840039394
5,17,8989187334.471333,0.2106578790709289
5,18,10681098406.533499,0.6804719975841171
5,19,14266153394.684076,1.6759790764676255
5,20,15777694968.229252,2.095707739337367
5,21,13944065549.54969,1.5865409141762778
5,22,12263497307.030132,1.1198765010766907
5,23,10006540390.544453,0.4931590324401345
6,0,14308345530.083721,1.1528224979657535
6,1,14757746781.23262,1.8124859634913726
6,2,13606878056.428478,1.492909843684298
6,3,10856877760.409138,0.7292828503278402
6,4,9521987257.276085,0.35860710064042517
6,5,7309554637.374224,-0.2557467494245884
6,6,4751752883.169383,-0.9660035686666104
6,7,3750256078.5105844,-1.2441017182939802
6,8,3808005116.058975,-1.2280658204156636
6,9,4468789104.747415,-1.044577661788683
6,10,5513219456.468328,-0.754557616914746
6,11,7401036333.357362,-0.23034388217694723
6,12,9477211561.94566,0.3461736730331225
6,13,9402266702.939318,0.3253627962367172
6,14,8841330330.05764,0.16960057449879642
6,15,8603058990.72488,0.10343679018173028
6,16,8363923767.439862,0.03703312039773286
6,17,8758669394.518026,0.14664707817898975
6,18,10653826463.217163,0.6728990558256066
6,19,13936186377.199688,1.5843530057966029
6,20,14602645435.102367,1.7694170319052827
6,21,12017284928.126875,1.051507628934681
6,22,10128428781.57004,0.5270053071836884
6,23,6458870443.736129,-0.49196687420931406
